speciesid_martin2019_other,authority_martin2019_source,family_martin2019_other,taxonomic_group_martin2019_other,functional_group_martin2019_feeding,diet_breadth_martin2019_feeding,agricultural_specialist_martin2019_feeding,diet_life_history_martin2019_feeding,overwintering_habitat_martin2019_habitat,dispersal_martin2019_dispersal,stratum_martin2019_habitat,genus,species,
Trypoxylon clavicerum,"Serville, 1828",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,trypoxylon,clavicerum,
Trypoxylon figulus,"(Linnaeus, 1758)",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,trypoxylon,figulus,
Trypoxylon medium,"(Beaumont, 1945)",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,trypoxylon,medium,
Trypoxylon minus,"(Beaumont, 1945)",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,trypoxylon,minus,
Ancistrocerus,"Wesmael, 1836",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,,
Ancistrocerus antilope,"(Panzer, 1789)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,antilope,
Ancistrocerus claripennis,"Thomson, 1874",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,claripennis,
Ancistrocerus gazella,"(Panzer, 1798)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,gazella,
Ancistrocerus nigricornis,"(Curtis, 1826)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,nigricornis,
Ancistrocerus oviventris,"(Wesmael, 1836)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,oviventris,
Ancistrocerus parietinus,"Linnaeus, 1761",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,parietinus,
Ancistrocerus parietum,"Linnaeus, 1758",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,parietum,
Ancistrocerus trifasciatus,"(Müller, 1776)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,ancistrocerus,trifasciatus,
Eumeninae,"Leach, 1815",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,eumeninae,,
Euodynerus notatus,"(Jurine, 1807)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,euodynerus,notatus,
Euodynerus quadrifasciatus,"(Fabricius, 1793)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,euodynerus,quadrifasciatus,
Symmorphus,"Wesmael, 1836",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,symmorphus,,
Symmorphus bifasciatus,"(Linnaeus, 1761)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,symmorphus,bifasciatus,
Symmorphus crassicornis,"(Panzer, 1796)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,symmorphus,crassicornis,
Symmorphus debilitatus,"(Saussure, 1856)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,symmorphus,debilitatus,
Symmorphus fuscipes,"(Schäffer, 1838)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,symmorphus,fuscipes,
Symmorphus gracilis,"(Brullé, 1832)",Eumenidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,symmorphus,gracilis,
Cerceris quinquefasciata,"(Rossi, 1792)",Masaridae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,cerceris,quinquefasciata,
Cerceris rybyensis,"(Linnaeus, 1771)",Masaridae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,cerceris,rybyensis,
Auplopus carbonarius,"(Scopoli, 1763)",Pompilidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,auplopus,carbonarius,
Dipogon,"Liebmann, 1854",Pompilidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,dipogon,,
Dipogon subintermedius,"(Magretti, 1886)",Pompilidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,dipogon,subintermedius,
Dipogon variegatus,"(Linnaeus, 1758)",Pompilidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,dipogon,variegatus,
Pompilidae,,Pompilidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,pompilidae,,
Oxybelus uniglumis,"(Linnaeus, 1758)",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,oxybelus,uniglumis,
Pemphredon,"Latreille, 1796",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,pemphredon,,
Pemphredon baltica,"Merisuo, 1972",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,pemphredon,baltica,
Pemphredon rugifera,"(Dahlbom, 1844)",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,pemphredon,rugifera,
Psenulus,"Kohl, 1897",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,psenulus,,
Psenulus concolor,"(Dahlbom, 1843)",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,psenulus,concolor,
Psenulus pallipes,"(Panzer, 1798)",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,psenulus,pallipes,
Sphecidae,"Latreille, 1802",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,sphecidae,,
Stigmus solskyi,"Morawitz, 1864",Sphecidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,stigmus,solskyi,
Allodynerus rossii,"(Lepeletier, 1841)",Vespidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,allodynerus,rossii,
Discoelius zonalis,"(Panzer, 1801)",Vespidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,discoelius,zonalis,
Vespula germanica,"(Fabricius, 1793)",Vespidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,vespula,germanica,
Vespula rufa,"(Linnaeus, 1758)",Vespidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,vespula,rufa,
Vespula vulgaris,"(Linnaeus, 1758)",Vespidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,vespula,vulgaris,
Formicidae,"Latreille, 1802",Formicidae,ant,"aphid-tender, predator",generalist,no,same_diet,"natural, margin",flight,ground/veg,formicidae,,
Acyrthosiphon pisum,"(Harris, 1776)",Aphididae,aphid,pest herbivore,specialist,yes,same_diet,"natural, margin, crop",flight/wind,ground/veg,acyrthosiphon,pisum,
Aphididae,"Latreille, 1802",Aphididae,aphid,pest herbivore,specialist,yes,same_diet,"natural, margin",flight/wind,ground/veg,aphididae,,
Aphidoidea,"Geoffroy, 1762",Aphididae,aphid,pest herbivore,specialist,yes,same_diet,"natural, margin",flight/wind,ground/veg,aphidoidea,,
Aphis craccivora,"Koch, 1854",Aphididae,aphid,pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight/wind,ground/veg,aphis,craccivora,
Metopolophium dirhodum,"(Walker, 1849)",Aphididae,aphid,pest herbivore,specialist,yes,same_diet,"natural, margin",flight/wind,ground/veg,metopolophium,dirhodum,
Myzus cerasi,"(Fabricius, 1775)",Aphididae,aphid,pest herbivore,specialist,yes,same_diet,"natural, margin, crop",flight/wind,ground/veg,myzus,cerasi,
Rhopalosiphum padi,"(Linnaeus, 1758)",Aphididae,aphid,pest herbivore,specialist,yes,same_diet,"natural, margin",flight/wind,ground/veg,rhopalosiphum,padi,
Sitobion avenae,"(Fabricius, 1775)",Aphididae,aphid,pest herbivore,specialist,yes,same_diet,"natural, margin",flight/wind,ground/veg,sitobion,avenae,
Therioaphis trifolii,"(Monell, 1882)",Aphididae,aphid,pest herbivore,specialist,yes,same_diet,"natural, margin, crop",flight/wind,ground/veg,therioaphis,trifolii,
Aphidoletes aphidimyza,"(Rondani, 1847)",Cecidomyiidae,aphid midge,predator,specialist,yes,different_diet,"natural, margin",flight/wind,aerial,aphidoletes,aphidimyza,
Pemphredon lethifer,"(Shuckard, 1837)",Crabronidae,bee,pollinator,generalist,no,same_diet,"natural, margin",flight,aerial,pemphredon,lethifer,
Lepidoptera,"Linnaeus, 1758",Lepidoptera  fam.,butterfly,"larval non-pest herbivore, adult pollinator",NA,NA,different_diet,"natural, margin",flight,aerial,lepidoptera,,
Pieris brassicae,"(Linnaeus, 1758)",Pieridae,butterfly,"larval pest herbivore, adult pollinator (adults)",specialist,yes,different_diet,"natural, margin",flight,aerial,pieris,brassicae,
Pieris napi,"(Linnaeus, 1758)",Pieridae,butterfly,"larval non-pest herbivore, adult pollinator",specialist,no,different_diet,"natural, margin",flight,aerial,pieris,napi,
Pieris rapae,"(Linnaeus, 1758)",Pieridae,butterfly,"larval pest herbivore, adult pollinator (adults)",generalist,no,different_diet,"natural, margin",flight,aerial,pieris,rapae,
Abax ovalis,"(Duftschmid, 1812)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin",ground,ground/veg,abax,ovalis,
Abax parallelepipedus,"(Dejean, 1828)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin",ground,ground/veg,abax,parallelepipedus,
Acupalpus dubius,"Schilsky, 1888",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,acupalpus,dubius,
Acupalpus elegans,"(Dejean, 1829)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,acupalpus,elegans,
Acupalpus flavicollis,"Stephens, 1828",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,acupalpus,flavicollis,
Acupalpus luteatus,"(Duftschmid, 1812)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,acupalpus,luteatus,
Acupalpus maculatus,"(Schaum, 1860)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,acupalpus,maculatus,
Acupalpus meridianus,"(Linnaeus, 1760)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,acupalpus,meridianus,
Acupalpus parvulus,"(Sturm, 1825)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,acupalpus,parvulus,
Agonum afrum,"(Duftschmid, 1812)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,agonum,afrum,
Agonum duftschmidi,"Schmidt, 1994",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,agonum,duftschmidi,
Agonum lugens,"(Duftschmid, 1812)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,agonum,lugens,
Agonum micans,"(Nicolai, 1822)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,agonum,micans,
Agonum muelleri,"(Herbst, 1784)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,agonum,muelleri,
Agonum nigrum,"(Letzner, 1851)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,agonum,nigrum,
Agonum permoestum aggregate,"Puel, 1938",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,agonum,permoestum,aggregate
Agonum sexpunctatum,"(Müller, 1776)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,agonum,sexpunctatum,
Agonum viduum,"(Panzer, 1796)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,agonum,viduum,
Agonum viridicupreum,"(Goeze, 1777)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,agonum,viridicupreum,
Amara,"Bonelli, 1810",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,amara,,
Amara aenea,"(De Geer, 1774)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,aenea,
Amara anthobia,"Villa, 1833",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,anthobia,
Amara apricaria,"(Paykull, 1790)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,apricaria,
Amara aulica,"(Panzer, 1796)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,aulica,
Amara bifrons,"(Gyllenhal, 1810)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,bifrons,
Amara communis,"(Panzer, 1797)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,communis,
Amara convexior,"Stephens, 1828",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,convexior,
Amara curta,"(Casey, 1918)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,curta,
Amara equestris,"(Duftschmid, 1812)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,equestris,
Amara eurynota,"(Panzer, 1796)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,eurynota,
Amara famelica,"Zimmermann, 1832",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,famelica,
Amara familiaris,"(Duftschmid, 1812)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,familiaris,
Amara fulva,"Letzner, 1852",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,fulva,
Amara ingenua,"(Duftschmid, 1812)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,ingenua,
Amara kulti,"Fassati, 1947",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,kulti,
Amara lunicollis,"Schiødte, 1837",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,lunicollis,
Amara majuscula,"(Chaudoir, 1850)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,majuscula,
Amara montivaga,"Sturm, 1825",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,montivaga,
Amara ovata,"Motschulsky, 1844",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,ovata,
Amara plebeja,"(Duftschmid, 1812)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,plebeja,
Amara similata,"(Gyllenhal, 1810)",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,similata,
Amara spreta,"Dejean, 1831",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,spreta,
Amara tibialis,"Letzner, 1852",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,tibialis,
Amara tricuspidata,"Dejean, 1831",Carabidae,carabid beetle,non-pest herbivore,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amara,tricuspidata,
Amblystomus niger,"(Heer, 1841)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,amblystomus,niger,
Anchomenus dorsalis,"(Pontoppidan, 1763)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,anchomenus,dorsalis,
Anisodactylus binotatus,"(Fabricius, 1787)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,anisodactylus,binotatus,
Anisodactylus nemorivagus,"(Duftschmid, 1812)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,anisodactylus,nemorivagus,
Anisodactylus signatus,"(Panzer, 1796)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,anisodactylus,signatus,
Asaphidion flavipes,"(Linnaeus, 1760)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,asaphidion,flavipes,
Asaphidion stierlini,"(Heyden, 1880)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,asaphidion,stierlini,
Badister bullatus,"(Schrank, 1798)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,badister,bullatus,
Badister lacertosus,"Sturm, 1815",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,badister,lacertosus,
Badister meridionalis,"Puel, 1925",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,badister,meridionalis,
Badister peltatus,"(Panzer, 1796)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,badister,peltatus,
Badister sodalis,"(Duftschmid, 1812)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,badister,sodalis,
Bembidion aeneum,"(Germar, 1824)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,aeneum,
Bembidion assimile,"(Stephens, 1828)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,assimile,
Bembidion biguttatum,"Motschulsky, 1850",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,bembidion,biguttatum,
Bembidion deletum,"Serville, 1821",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,bembidion,deletum,
Bembidion dentellum,"Dejean, 1831",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,bembidion,dentellum,
Bembidion gilvipes,"Sturm, 1825",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,gilvipes,
Bembidion guttula,"(Duftschmid, 1812)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,guttula,
Bembidion iricolor,"(Bedel, 1879)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,bembidion,iricolor,
Bembidion lampros,"(Herbst, 1784)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,lampros,
Bembidion latinum,"Netolitzky, 1911",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,bembidion,latinum,
Bembidion lunulatum,"(Fourcroy, 1785)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,bembidion,lunulatum,
Bembidion mannerheimii,"(LeConte, 1852)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,mannerheimii,
Bembidion obliquum,"(Linnaeus, 1767)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,bembidion,obliquum,
Bembidion obtusum,"Serville, 1821",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,obtusum,
Bembidion properans,"(Stephens, 1828)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,properans,
Bembidion quadrimaculatum,"(Linnaeus, 1761)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,bembidion,quadrimaculatum,
Bembidion tetracolum,"Say, 1823",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bembidion,tetracolum,
Blemus discus,"(Fabricius, 1792)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,blemus,discus,
Brachinus bipustulatus,"Schönherr, 1806",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,brachinus,bipustulatus,
Brachinus crepitans,"(Linnaeus, 1758)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,brachinus,crepitans,
Brachinus explodens,"Duftschmid, 1812",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,brachinus,explodens,
Brachinus ganglbaueri,"Apfelbeck, 1904",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,brachinus,ganglbaueri,
Brachinus psophia,"Serville, 1821",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,brachinus,psophia,
Brachinus sclopeta,"(Fabricius, 1792)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,brachinus,sclopeta,
Bradycellus caucasicus,"(Chaudoir, 1846)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bradycellus,caucasicus,
Bradycellus harpalinus,"(Serville, 1821)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,bradycellus,harpalinus,
Calathus,"Bonelli, 1810",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,calathus,,
Calathus ambiguus,"(Paykull, 1790)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",flight,ground/veg,calathus,ambiguus,
Calathus cinctus,"(Motschulsky, 1850)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,calathus,cinctus,
Calathus erratus,"(Sahlberg, 1827)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,calathus,erratus,
Calathus fuscipes,"(Goeze, 1777)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,calathus,fuscipes,
Calathus luctuosus,"Dejean, 1828",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,calathus,luctuosus,
Calathus melanocephalus,"(Linnaeus, 1758)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,calathus,melanocephalus,
Calathus micropterus,"(Duftschmid, 1812)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,calathus,micropterus,
Callistus lunatus,"(Fabricius, 1775)",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin",flight,ground/veg,callistus,lunatus,
Carabus auratus,"Heuer, 1926",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,auratus,
Carabus auronitens,"Fabricius, 1792",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,auronitens,
Carabus cancellatus,"Illiger, 1798",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,cancellatus,
Carabus convexus,"Fabricius, 1775",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,convexus,
Carabus coriaceus,"Géhin, 1885",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,coriaceus,
Carabus glabratus,"Paykull, 1790",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,glabratus,
Carabus granulatus,"Linnaeus, 1758",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,granulatus,
Carabus hungaricus,"Fabricius, 1792",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,hungaricus,
Carabus intricatus,"Linnaeus, 1761",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,intricatus,
Carabus monilis,"Fabricius, 1792",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,monilis,
Carabus nemoralis,"Müller, 1764",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,nemoralis,
Carabus problematicus,"Herbst, 1786",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,problematicus,
Carabus scabriusculus,"Olivier, 1795",Carabidae,carabid beetle,predator,generalist,no,same_diet,"natural, margin, crop",ground,ground/veg,carabus,scabriusculus,
