"genus","species","newmartin2019_dispersal_martin2019_dispersal","newsesync_flightpotential_sesync_dispersal"
"eumeninae","","flight",NA
"euodynerus","notatus","flight",NA
"euodynerus","quadrifasciatus","flight",NA
"eupeodes","","flight",NA
"eupeodes","bucculatus","flight",NA
"eupeodes","corollae","flight",NA
"eupeodes","lapponicus","flight",NA
"eupeodes","latifasciatus","flight",NA
"eupeodes","lundbecki","flight",NA
"eupeodes","luniger","flight",NA
"eupeodes","nielseni","flight",NA
"eupeodes","nitens","flight",NA
"eupoecilia","ambiguella",NA,"3"
"eurydema","oleracea","flight",NA
"euryopis","episinoides","wind",NA
"euryopis","flavomaculata","wind",NA
"euryopis","quinqueguttata","wind",NA
"eurytoma","amygdali",NA,"2"
"eurytoma","nodularis","flight/wind",NA
"evodinus","borealis",NA,NA
"exocentrus","adspersus",NA,NA
"exocentrus","lusitanus",NA,NA
"falagria","sulcata","flight",NA
"forficula","auricularia","ground",NA
"formicidae","","flight",NA
"gasteruption","","flight/wind",NA
"gasteruption","assectator","flight/wind",NA
"gaurotes","virginea",NA,NA
"geocoris","",NA,NA
"gnamptogenys","122",NA,NA
"gnamptogenys","124",NA,NA
"gnamptogenys","7",NA,NA
"gnamptogenys","74",NA,NA
"gnamptogenys","8",NA,NA
"gnamptogenys","acuminata",NA,NA
"gnamptogenys","continua",NA,NA
"gnamptogenys","curvoclypeata",NA,NA
"gnamptogenys","hartmani",NA,NA
"gnamptogenys","horni",NA,NA
"gnamptogenys","interrupta",NA,NA
"gnamptogenys","menadensis",NA,NA
"gnamptogenys","minuta",NA,NA
"gnamptogenys","nana",NA,NA
"gnamptogenys","pr.reichenspergeri sp.1",NA,NA
"gnamptogenys","pr.striatula sp.1",NA,NA
"gnamptogenys","pr.striatula sp.2",NA,NA
"gnamptogenys","quadrutinodules",NA,NA
"gnamptogenys","rastrata",NA,NA
"gnamptogenys","reichenspergeri",NA,NA
"gnamptogenys","sp.4",NA,NA
"gnamptogenys","striatula",NA,NA
"gnamptogenys","tornata",NA,NA
"gnamptogenys","triangularis",NA,NA
"gnathacmaeops","pratensis",NA,NA
"gongylidiellum","","wind",NA
"gongylidiellum","latebricola","wind",NA
"gongylidiellum","murcidum","wind",NA
"gongylidiellum","vivum","wind",NA
"grammoptera","ruficornis",NA,NA
"grammoptera","ustulata",NA,NA
"gynandromorphus","etruscus",NA,NA
"gyrohypnus","angustatus","flight",NA
"gyrohypnus","liebei","flight",NA
"gyrohypnus","punctulatus","flight",NA
"hahnia","nava","ground",NA
"hahnia","pusilla","ground",NA
"halticus","apterus",NA,NA
"halticus","luteicollis","flight",NA
"haplodrassus","dalmatensis","ground",NA
"haplodrassus","invalidus","ground",NA
"haplodrassus","minor","ground",NA
"haplodrassus","severus","ground",NA
"haplodrassus","signifer","ground",NA
"haplodrassus","umbratilis","ground",NA
"harmonia","axyridis","flight",NA
"harpactea","fageli","ground",NA
"harpactea","lepida","ground",NA
"harpalus","affinis","flight",NA
"harpalus","albanicus","flight",NA
"harpalus","anxius","flight",NA
"harpalus","atratus","ground",NA
"harpalus","attenuatus",NA,NA
"harpalus","autumnalis","ground",NA
"harpalus","calceatus","flight",NA
"harpalus","caspius","flight",NA
"harpalus","cephalotes",NA,NA
"harpalus","cupreus","flight",NA
"harpalus","dimidiatus","flight",NA
"harpalus","distinguendus","flight",NA
"harpalus","flavescens","flight",NA
"harpalus","flavicornis","flight",NA
"harpalus","froelichii",NA,NA
"harpalus","fuscicornis","flight",NA
"harpalus","fuscipalpis",NA,NA
"harpalus","griseus","flight",NA
"harpalus","hirtipes",NA,NA
"harpalus","honestus",NA,NA
"harpalus","hospes","ground",NA
"harpalus","laevipes","flight",NA
"harpalus","latus","flight",NA
"harpalus","luteicornis","flight",NA
"harpalus","marginellus","ground",NA
"harpalus","melancholicus",NA,NA
"harpalus","modestus","flight",NA
"harpalus","neglectus",NA,NA
"harpalus","picipennis","ground",NA
"harpalus","politus","ground",NA
"harpalus","progrediens","ground",NA
"harpalus","pumilus","ground",NA
"harpalus","pygmaeus","flight",NA
"harpalus","rubripes","flight",NA
"harpalus","rufipalpis",NA,NA
"harpalus","rufipes","ground",NA
"harpalus","serripes","flight",NA
"harpalus","servus",NA,NA
"harpalus","signaticornis","flight",NA
"harpalus","smaragdinus","flight",NA
"harpalus","solitaris",NA,NA
"harpalus","subcylindricus","ground",NA
"harpalus","sulphuripes",NA,NA
"harpalus","tardus","flight",NA
"harpalus","tenebrosus",NA,NA
"harpalus","zabroides",NA,NA
"helicoverpa","armigera",NA,"3"
"helopeltis","sulawesi",NA,NA
"himacerus","apterus","flight",NA
"himacerus","major","flight",NA
"himacerus","mirmicoides","flight",NA
"hippodamia","convergens",NA,NA
"hippodamia","notata",NA,NA
"hippodamia","tredecimpunctata",NA,NA
"hippodamia","variegata","flight",NA
"histopona","torpida","ground",NA
"hylotrupes","bajulus",NA,NA
"hypera","arator",NA,NA
"hypera","meles",NA,NA
"hypera","nigrirostris",NA,NA
"hypera","plantaginis",NA,NA
"hypera","postica",NA,"2"
"hypera","rumicis",NA,NA
"hypera","suspiciosa",NA,NA
"hypera","zoilus",NA,NA
"hyperaspis","conclusa",NA,NA
"hyperaspis","elegantissima",NA,NA
"hyperaspis","festiva",NA,NA
"hyperaspis","gordoni",NA,NA
"hyperaspis","longula",NA,NA
"hyperaspis","matronata",NA,NA
"hyperaspis","sp13",NA,NA
"hyperaspis","sp19",NA,NA
"hypoponera","1",NA,NA
"hypoponera","113",NA,NA
"hypoponera","39",NA,NA
"hypoponera","80",NA,NA
"hypoponera","JTL013",NA,NA
"hypoponera","antcnp_sp2",NA,NA
"hypoponera","cf. confinis",NA,NA
"hypoponera","eduardi",NA,NA
"hypoponera","inexorata",NA,NA
"hypoponera","opacior",NA,NA
"hypoponera","parva",NA,NA
"hypoponera","sabrone",NA,NA
"hypoponera","sp. 04",NA,NA
"hypoponera","sp.02",NA,NA
"hypoponera","sp.03",NA,NA
"hypoponera","sp.10",NA,NA
"hypoponera","sp.11",NA,NA
"hypoponera","sp.12",NA,NA
"hypoponera","sp.13",NA,NA
"hypoponera","sp.14",NA,NA
"hypoponera","sp.15",NA,NA
"hypoponera","sp.16",NA,NA
"hypoponera","sp.17",NA,NA
"hypoponera","sp.18",NA,NA
"hypoponera","sp.19",NA,NA
"hypoponera","sp.2",NA,NA
"hypoponera","sp.20",NA,NA
"hypoponera","sp.21",NA,NA
"hypoponera","sp.22",NA,NA
"hypoponera","sp.23",NA,NA
"hypoponera","sp.24",NA,NA
"hypoponera","sp.3",NA,NA
"hypoponera","sp.5",NA,NA
"hypoponera","sp.6",NA,NA
"hypoponera","sp.7",NA,NA
"hypoponera","sp.8",NA,NA
"hypoponera","sp.9",NA,NA
"hypothenemus","hampei",NA,"2"
"ichneumonidae","","flight/wind",NA
"ilyobates","propinquus","flight",NA
"ilyobates","subopacus","flight",NA
"jacksonella","falconeri","wind",NA
"judolia","sexmaculata",NA,NA
"labidus","coecus",NA,NA
"labidus","praedator",NA,NA
"lachnomyrmex","plaumanni",NA,NA
"laemostenus","terricola","ground",NA
"lamia","textor",NA,NA
"larinioides","cornutus","wind",NA
"larinioides","suspicax","wind",NA
"lathrobium","brunnipes","flight",NA
"lathrobium","fulvipenne","flight",NA
"lathrobium","longulum","flight",NA
"lathrobium","multipunctum","flight",NA
"lathrobium","pallidipenne","flight",NA
"lathrobium","pallidum","flight",NA
"lathrobium","quadratum","flight",NA
"lathrobium","volgense","flight",NA
"leioderes","kollari",NA,NA
"leiopus","nebulosus",NA,NA
"leiopus","punctulatus",NA,NA
"leistus","ferrugineus","flight",NA
"leistus","fulvibarbis","flight",NA
"leistus","montanus",NA,NA
"leistus","nitidus",NA,NA
"leistus","piceus",NA,NA
"leistus","rufomarginatus",NA,NA
"leistus","spinibarbis",NA,NA
"leistus","terminatus",NA,NA
"lepidoptera","","flight",NA
"lepthyphantes","","wind",NA
"leptinotarsa","decemlineata",NA,"3"
"leptogenys","120",NA,NA
"leptogenys","139",NA,NA
"leptogenys","140",NA,NA
"leptogenys","143",NA,NA
"leptogenys","146",NA,NA
"leptogenys","15",NA,NA
"leptogenys","160",NA,NA
"leptogenys","67",NA,NA
"leptogenys","68",NA,NA
"leptogenys","77",NA,NA
"leptogenys","diminuta",NA,NA
"leptogenys","exigua",NA,NA
"leptogenys","intermedia",NA,NA
"leptogenys","kitteli",NA,NA
"leptogenys","rufida",NA,NA
"leptogenys","sp._nr._conigera",NA,NA
"leptura","quadrifasciata",NA,NA
"lepturalia","nigripes",NA,NA
"lepturobosca","virens",NA,NA
"licinus","cassideus",NA,NA
"licinus","depressus",NA,NA
"licinus","hoffmannseggii",NA,NA
"licinus","oblongus",NA,NA
"liocranoeca","striata","ground",NA
"lionychus","quadrillum",NA,NA
"liriomyza","huidobrensis",NA,NA
"liriomyza","sativae",NA,"2"
"lobesia","botrana",NA,"2"
"loricera","pilicornis","flight",NA
"lygus","gemellatus","flight",NA
"lygus","hesperus",NA,"3"
"lygus","lineolaris",NA,"3"
"lygus","pratensis","flight",NA
"lygus","rugulipennis","flight",NA
"lygus","wagneri",NA,NA
"macrocentrus","","flight/wind",NA
"macrosiphum","euphorbiae",NA,"1"
"mangora","acalypha","wind",NA
"medon","","flight",NA
"megatoma","undata","ground",NA
"meioneta","affinis",NA,NA
"meioneta","rurestris",NA,NA
"meioneta","saxatilis",NA,NA
"melanostoma","","flight",NA
"melanostoma","mellinum","flight",NA
"melanostoma","scalare","flight",NA
"meligethes","aeneus","flight/wind","3"
"meligethes","brachialis",NA,NA
"meligethes","carinulatus",NA,NA
"meligethes","coeruleovirens",NA,NA
"meligethes","coracinus",NA,NA
"meligethes","difficilis",NA,NA
"meligethes","flavimanus",NA,NA
"meligethes","maurus",NA,NA
"meligethes","morosus",NA,NA
"meligethes","nigrescens",NA,NA
"meligethes","ovatus",NA,NA
"meligethes","persicus",NA,NA
"meligethes","rotundicollis",NA,NA
"meligethes","ruficornis",NA,NA
"meligethes","subaeneus",NA,NA
"meligethes","symphyti",NA,NA
"meligethes","umbrosus",NA,NA
"meligethes","viridescens",NA,NA
"melittobia","acasta","flight/wind",NA
"mesosa","curculionoides",NA,NA
"mesosa","nebulosa",NA,NA
"mesus","rugatifrons",NA,NA
"metopolophium","dirhodum","flight/wind","1"
"micaria","albovittata","ground",NA
"micaria","coarctata","ground",NA
"micaria","dives","ground",NA
"micaria","formicaria","ground",NA
"micaria","guttigera","ground",NA
"micaria","pulicaria","ground",NA
"micaria","rossica","ground",NA
"micrargus","apertus","wind",NA
"micrargus","herbigradus","wind",NA
"micrargus","subaequalis","wind",NA
"microlestes","fissuralis","flight",NA
"microlestes","maurus","ground",NA
"microlestes","minutulus","flight",NA
"microlinyphia","pusilla","wind",NA
"micromus","angulatus","flight",NA
"micromus","variegatus","flight",NA
"molops","elatus","ground",NA
"molops","piceus","ground",NA
"molorchus","minor",NA,NA
"molorchus","umbellatarum",NA,NA
"monocephalus","fuscipes","wind",NA
"monochamus","galloprovincialis",NA,NA
"monochamus","sutor",NA,NA
"monochamus","urussovii",NA,NA
"monodontomerus","","flight/wind",NA
"monodontomerus","obscurus","flight/wind",NA
"monodontomerus","obsoletus","flight/wind",NA
"monomorium","1",NA,NA
"monomorium","12",NA,NA
"monomorium","3",NA,NA
"monomorium","9",NA,NA
"monomorium","93",NA,NA
"monomorium","96",NA,NA
"monomorium","?fieldi  fieldi",NA,NA
"monomorium","donisthorpei",NA,NA
"monomorium","fieldi",NA,NA
"monomorium","flavipes gp. sp. SS 1",NA,NA
"monomorium","floricola",NA,NA
"monomorium","intrudens",NA,NA
"monomorium","leae",NA,NA
"monomorium","leave laeve gp. sp. SS 1",NA,NA
"monomorium","leave laeve gp. sp. SS 2 & leave laeve gp. sp. SS 1",NA,NA
"monomorium","musicum",NA,NA
"monomorium","nigrius",NA,NA
"monomorium","pharaonis",NA,NA
"monomorium","rothsteini gp. sp. SS 1",NA,NA
"monomorium","sordidum gp. sp. SS 1",NA,NA
"monomorium","sordidum gp. sp. SS 2",NA,NA
"monomorium","sordidum gp. sp. SS 3",NA,NA
"monomorium","sp. 3",NA,NA
"monomorium","sp. 5 aff. floricola",NA,NA
"monomorium","sp._14_nigrius_gp.",NA,NA
"monomorium","sp._1_rothsteini_gp.",NA,NA
"monomorium","sp._24_laeve_gp.",NA,NA
"monomorium","sp._26_sydneyense_gp.",NA,NA
"monomorium","sp._33_laeve_gp.",NA,NA
"monomorium","sp._37_nigrius_gp.",NA,NA
"monomorium","sp._39_nigrius_gp.",NA,NA
"monomorium","sp._7_insolescens_gp.",NA,NA
"monomorium","sp._8_carinatum_gp.",NA,NA
"monomorium","taedium",NA,NA
"monomorium","un01",NA,NA
"monomorium","viride",NA,NA
"mycetoporus","bimaculatus","flight",NA
"mycetoporus","forticornis","flight",NA
"mycetoporus","lepidus","flight",NA
"mycetoporus","longulus","flight",NA
"mycetoporus","nigricollis",NA,NA
"myzus","cerasi","flight/wind","1"
"nabis","","flight",NA
"nabis","brevis","flight",NA
"nabis","ferus","flight",NA
"nabis","flavomarginatus",NA,NA
"nabis","limbatus",NA,NA
"nabis","pseudoferus","flight",NA
"nabis","punctatus","flight",NA
"nabis","rugosus","flight",NA
"nasonovia","ribisnigri",NA,"1"
"nebria","brevicollis","flight",NA
"nebria","germarii",NA,NA
"nebria","hellwigii",NA,NA
"nebria","jockischii",NA,NA
"nebria","livida",NA,NA
"nebria","picicornis",NA,NA
"nebria","rufescens",NA,NA
"nebria","salina","flight",NA
"necydalis","major",NA,NA
"nehemitropia","lividipennis",NA,NA
"neoscona","adianta","wind",NA
"nivellia","sanguinosa",NA,NA
"nothorhina","muricata",NA,NA
"notiophilus","aestuans","ground",NA
"notiophilus","aquaticus","ground",NA
"notiophilus","biguttatus","ground",NA
"notiophilus","germinyi","ground",NA
"notiophilus","laticollis","ground",NA
"notiophilus","palustris","ground",NA
"notiophilus","quadripunctatus","ground",NA
"notiophilus","rufipes","flight",NA
"notiophilus","substriatus",NA,NA
"notoxus","monoceros",NA,NA
"nysius","cymoides",NA,NA
"nysius","ericae",NA,NA
"nysius","senecionis",NA,NA
"nysius","thymi",NA,NA
"oberea","linearis",NA,NA
"oberea","oculata",NA,NA
"obrium","brunneum",NA,NA
"obrium","cantharinum",NA,NA
"octostruma","balzani",NA,NA
"octostruma","petiolata",NA,NA
"octostruma","rugifera",NA,NA
"octostruma","sp.L",NA,NA
"octostruma","stenognatha",NA,NA
"ocypus","brunnipes","flight",NA
"ocypus","fuscatus","flight",NA
"ocypus","nero","flight",NA
"ocypus","nitens","flight",NA
"ocys","harpaloides","ground",NA
"ocys","quinquestriatus",NA,NA
"odontomachus","65",NA,NA
"odontomachus","75",NA,NA
"odontomachus","affinis",NA,NA
"odontomachus","bauri",NA,NA
"odontomachus","chelifer",NA,NA
"odontomachus","meinerti",NA,NA
"odontomachus","monticola",NA,NA
"odontomachus","relictus",NA,NA
"odontomachus","simillimus",NA,NA
"odontomachus","sp.2",NA,NA
"odontomachus","sp._Nr._Turneri",NA,NA
"odontomachus","testaceus",NA,NA
"oedothorax","","wind",NA
"oedothorax","agrestis","wind",NA
"oedothorax","apicatus","wind",NA
"oedothorax","fuscus","wind",NA
"oedothorax","gibbosus","wind",NA
"oedothorax","retusus","wind",NA
"oligomyrmex","110",NA,NA
"oligomyrmex","117",NA,NA
"oligomyrmex","128",NA,NA
"oligomyrmex","142",NA,NA
"oligomyrmex","20",NA,NA
"oligomyrmex","73",NA,NA
"oligota","inflata","flight",NA
"oligota","parva",NA,NA
"oligota","pusillima","flight",NA
"omalium","caesum","flight",NA
"omalium","excavatum","flight",NA
"omalium","rivulare","flight",NA
"omalus","","flight/wind",NA
"omalus","aeneus","flight/wind",NA
"omalus","puncticollis","flight/wind",NA
"ontholestes","murinus","flight",NA
"oodes","gracilis",NA,NA
"oodes","helopioides","flight",NA
"ophiomyia","simplex",NA,"3"
"ophonus","ardosiacus","flight",NA
"ophonus","azureus","ground",NA
"ophonus","brevicollis","flight",NA
"ophonus","cordatus",NA,NA
"ophonus","cribricollis","flight",NA
"ophonus","diffinis","flight",NA
"ophonus","laticollis","flight",NA
"ophonus","melletii",NA,NA
"ophonus","parallelus",NA,NA
"ophonus","puncticeps","flight",NA
"ophonus","puncticollis",NA,NA
"ophonus","rufibarbis","flight",NA
"ophonus","rupicola",NA,NA
"ophonus","sabulicola",NA,NA
"ophonus","schaubergerianus","flight",NA
"ophonus","stictus",NA,NA
"ophonus","subsinuatus",NA,NA
"oplosia","cinerea",NA,NA
"orius","insidiosus",NA,NA
"orius","majusculus","flight",NA
"orius","minutus","flight",NA
"orius","niger","flight",NA
"ostrinia","nubilalis",NA,"3"
"oulema","duftschmidi",NA,NA
"oulema","gallaeciana",NA,NA
"oulema","melanopus","flight/wind","2"
"oulema","sp.",NA,"2"
"oxybelus","uniglumis","flight",NA
"oxymirus","cursor",NA,NA
"oxyopes","heterophthalmus","ground",NA
"oxyopes","mediterraneus","ground",NA
"oxyopes","nigripalpis","ground",NA
"oxyopes","ramosus",NA,NA
"oxypoda","acuminata","flight",NA
"oxypoda","bicolor","flight",NA
"oxypoda","brachyptera","flight",NA
"oxypoda","brevicornis","flight",NA
"oxypoda","exoleta","flight",NA
"oxypoda","haemorrhoa","flight",NA
"oxypoda","longipes","flight",NA
"oxypoda","opaca",NA,NA
"oxypoda","tarda","flight",NA
"oxypoda","umbrata","flight",NA
"oxypselaphus","obscurus","ground",NA
"ozyptila","claveata","ground",NA
"ozyptila","furcula","ground",NA
"ozyptila","pauxilla","ground",NA
"ozyptila","praticola","ground",NA
"ozyptila","simplex","ground",NA
"ozyptila","trux","ground",NA
"pachycondyla","1",NA,NA
"pachycondyla","162",NA,NA
"pachycondyla","3",NA,NA
"pachycondyla","60",NA,NA
"pachycondyla","97",NA,NA
"pachycondyla","bucki",NA,NA
"pachycondyla","caffraria",NA,NA
"pachycondyla","ferruginea",NA,NA
"pachycondyla","harpax",NA,NA
"pachycondyla","impressa",NA,NA
"pachycondyla","peringueyi",NA,NA
"pachycondyla","pr.harpax",NA,NA
"pachycondyla","pumicosa",NA,NA
"pachycondyla","stigma",NA,NA
"pachycondyla","striata",NA,NA
"pachycondyla","tridentata",NA,NA
"pachycondyla","wroughtonii",NA,NA
"pachygnatha","clercki","wind",NA
"pachygnatha","degeeri","wind",NA
"pachygnatha","listeri","wind",NA
"pachymorphus","sp",NA,NA
"pachymorphus","sp2",NA,NA
"pachyta","lamed",NA,NA
"paederus","brevipennis","flight",NA
"paederus","fuscipes","flight",NA
"paederus","littoralis","flight",NA
"panamomops","sulcifrons","wind",NA
"paratrechina","1",NA,NA
"paratrechina","11",NA,NA
"paratrechina","141",NA,NA
"paratrechina","63",NA,NA
"paratrechina","92",NA,NA
"paratrechina","94",NA,NA
"paratrechina","97",NA,NA
"paratrechina","arenivaga",NA,NA
"paratrechina","longicornis",NA,NA
"paratrechina","phantasma",NA,NA
"paratrechina","sp.1",NA,NA
"paratrechina","sp.2",NA,NA
"paratrechina","sp.3",NA,NA
"paratrechina","sp.4",NA,NA
"paratrechina","umbra",NA,NA
"paratrechina","wojciki",NA,NA
"pardosa","","ground",NA
"pardosa","agrestis","ground",NA
"pardosa","agricola","ground",NA
"pardosa","amentata","ground",NA
"pardosa","fulvipes","ground",NA
"pardosa","hortensis","ground",NA
"pardosa","lugubris","ground",NA
"pardosa","maisa","ground",NA
"pardosa","paludicola","ground",NA
"pardosa","palustris","ground",NA
"pardosa","prativaga","ground",NA
"pardosa","proxima","ground",NA
"pardosa","pullata","ground",NA
"pardosa","saltans","ground",NA
"parophonus","dejeani",NA,NA
"parophonus","maculicornis","flight",NA
"parophonus","mendax","flight",NA
"passaloecus","","flight",NA
"passaloecus","corniger","flight",NA
"passaloecus","eremita","flight",NA
"passaloecus","gracilis","flight",NA
"passaloecus","insignis","flight",NA
"passaloecus","turionum","flight",NA
"patrobus","assimilis",NA,NA
"patrobus","atrorufus","ground",NA
"patrobus","septentrionis",NA,NA
"pedostrangalia","pubescens",NA,NA
"pedostrangalia","revestita",NA,NA
"pelecopsis","bucephala","wind",NA
"pelecopsis","elongata","wind",NA
"pelecopsis","inedita","wind",NA
"pelecopsis","mengei","wind",NA
"pelecopsis","parallela","wind",NA
"pelecopsis","radicicola","wind",NA
"pemphredon","","flight",NA
"pemphredon","baltica","flight",NA
"pemphredon","inornata","flight",NA
"pemphredon","lethifer","flight",NA
"pemphredon","lugubris","flight",NA
"pemphredon","rugifera","flight",NA
"pentatoma","rufipes","flight",NA
"phalangium","opilio","ground",NA
"pheidole","1",NA,NA
"pheidole","10",NA,NA
"pheidole","102",NA,NA
"pheidole","104",NA,NA
"pheidole","105",NA,NA
"pheidole","108",NA,NA
"pheidole","109",NA,NA
"pheidole","11",NA,NA
"pheidole","111",NA,NA
"pheidole","115",NA,NA
"pheidole","128",NA,NA
"pheidole","130",NA,NA
"pheidole","137",NA,NA
"pheidole","14",NA,NA
"pheidole","149",NA,NA
"pheidole","152",NA,NA
"pheidole","153",NA,NA
"pheidole","157",NA,NA
"pheidole","167",NA,NA
"pheidole","170",NA,NA
"pheidole","174",NA,NA
"pheidole","175",NA,NA
"pheidole","185",NA,NA
"pheidole","194",NA,NA
"pheidole","197",NA,NA
"pheidole","199",NA,NA
"pheidole","206",NA,NA
"pheidole","26",NA,NA
"pheidole","28",NA,NA
"pheidole","29",NA,NA
"pheidole","32",NA,NA
"pheidole","36",NA,NA
"pheidole","38",NA,NA
"pheidole","4",NA,NA
"pheidole","55",NA,NA
"pheidole","56",NA,NA
"pheidole","59",NA,NA
"pheidole","60",NA,NA
"pheidole","62",NA,NA
"pheidole","63",NA,NA
"pheidole","65",NA,NA
"pheidole","83",NA,NA
"pheidole","88",NA,NA
"pheidole","99",NA,NA
"pheidole","A",NA,NA
"pheidole","B gp. sp. SS 1",NA,NA
"pheidole","B gp. sp. SS 2",NA,NA
"pheidole","B gp. sp. SS 3",NA,NA
"pheidole","B gp. sp. SS 4",NA,NA
"pheidole","adrianoi",NA,NA
"pheidole","angulifera",NA,NA
"pheidole","californica",NA,NA
"pheidole","cocciphaga",NA,NA
"pheidole","dasypyx",NA,NA
"pheidole","dentata",NA,NA
"pheidole","floridana",NA,NA
"pheidole","fracticeps",NA,NA
"pheidole","gertrudae",NA,NA
"pheidole","glomericeps",NA,NA
"pheidole","harrisonfordi",NA,NA
"pheidole","hospes",NA,NA
"pheidole","jelskii",NA,NA
"pheidole","lash9",NA,NA
"pheidole","mendicula",NA,NA
"pheidole","metallescens",NA,NA
"pheidole","moerens",NA,NA
"pheidole","morrisii",NA,NA
"pheidole","multispina",NA,NA
"pheidole","nodus",NA,NA
"pheidole","oxyops",NA,NA
"pheidole","pallidula",NA,NA
"pheidole","pieli",NA,NA
"pheidole","pyriformis gp. sp. SS 1",NA,NA
"pheidole","rugiceps",NA,NA
"pheidole","schwarzmaieri",NA,NA
"pheidole","sensitiva",NA,NA
"pheidole","sexspinosa biroi",NA,NA
"pheidole","sp. 1",NA,NA
"pheidole","sp. 13 aff. tricolor",NA,NA
"pheidole","sp. 14 aff. gambogia",NA,NA
"pheidole","sp. 18",NA,NA
"pheidole","sp. 2",NA,NA
"pheidole","sp. 24 aff. amber",NA,NA
"pheidole","sp. 25 aff. sexspinosa",NA,NA
"pheidole","sp. 26",NA,NA
"pheidole","sp. 3",NA,NA
"pheidole","sp. 30 aff. sexspinosa",NA,NA
"pheidole","sp. 4",NA,NA
"pheidole","sp. 5",NA,NA
"pheidole","sp. 6",NA,NA
"pheidole","sp. 7 aff. gambogia",NA,NA
"pheidole","sp.01",NA,NA
"pheidole","sp.03",NA,NA
"pheidole","sp.07",NA,NA
"pheidole","sp.08",NA,NA
"pheidole","sp.09",NA,NA
"pheidole","sp.1",NA,NA
"pheidole","sp.10",NA,NA
"pheidole","sp.11",NA,NA
"pheidole","sp.12",NA,NA
"pheidole","sp.13",NA,NA
"pheidole","sp.14",NA,NA
"pheidole","sp.15",NA,NA
"pheidole","sp.16",NA,NA
"pheidole","sp.17",NA,NA
"pheidole","sp.18",NA,NA
"pheidole","sp.19",NA,NA
"pheidole","sp.2",NA,NA
"pheidole","sp.3",NA,NA
"pheidole","sp.37",NA,NA
"pheidole","sp.4",NA,NA
"pheidole","sp.40",NA,NA
"pheidole","sp.5",NA,NA
"pheidole","sp.6",NA,NA
"pheidole","sp.7",NA,NA
"pheidole","sp.7.1",NA,NA
"pheidole","sp.7.2",NA,NA
"pheidole","sp.8",NA,NA
"pheidole","sp.9",NA,NA
"pheidole","sp._13_ampla_gp.",NA,NA
"pheidole","sp._14_ampla_gp.",NA,NA
"pheidole","sp._1_mjobergi_gp.",NA,NA
"pheidole","sp._2_longiceps_gp.",NA,NA
"pheidole","sp._3_variabilis_gp.",NA,NA
"pheidole","sp._8_Group_F",NA,NA
"pheidole","sp.prox. Tetrica",NA,NA
"pheidole","striaticeps",NA,NA
"pheidole","thrasys",NA,NA
"pheidole","triconstricta",NA,NA
"pheidole","tumida",NA,NA
"pheidole","ulothrix",NA,NA
"pheidole","un01",NA,NA
"pheidole","vafra",NA,NA
"pheidole","variabilis gp. sp. SS 1",NA,NA
"pheidole","variabilis gp. sp. SS 2",NA,NA
"pheidole","zeteki",NA,NA
"philodromus","albidus","ground",NA
"philodromus","aureolus",NA,NA
"philodromus","cespitum","ground",NA
"philodromus","collinus",NA,NA
"philodromus","praedatus",NA,NA
"philodromus","rufus","ground",NA
"philonthus","albipes",NA,NA
"philonthus","carbonarius","flight",NA
"philonthus","cognatus","flight",NA
"philonthus","concinnus","flight",NA
"philonthus","corruscus","flight",NA
"philonthus","debilis","flight",NA
"philonthus","laminatus","flight",NA
"philonthus","pseudovarians",NA,NA
"philonthus","sanguinolentus",NA,NA
"philonthus","varians","flight",NA
"philorhizus","melanocephalus",NA,NA
"philorhizus","notatus",NA,NA
"philorhizus","quadrisignatus",NA,NA
"philorhizus","sigma",NA,NA
"phrurolithus","festivus","ground",NA
"phrurolithus","minimus","ground",NA
"phymatodes","alni",NA,NA
"phymatodes","pusillus",NA,NA
"phymatodes","testaceus",NA,NA
"phytocoris","intricatus","flight",NA
"phytocoris","pini","flight",NA
"phytocoris","tiliae","flight",NA
"phytocoris","ulmi","flight",NA
"phytocoris","varipes",NA,NA
"phytoecia","cylindrica",NA,NA
"phytoecia","nigricornis",NA,NA
"pieris","brassicae","flight",NA
"pieris","napi","flight",NA
"pieris","rapae","flight",NA
"piezodorus","lituratus","flight",NA
"pirata","piraticus","ground",NA
"pisaura","mirabilis","ground",NA
"plagiognathus","arbustorum","flight",NA
"plagiognathus","chrysanthemi","flight",NA
"plagiognathus","fulvipennis","flight",NA
"plagionotus","arcuatus",NA,NA
"plagionotus","detritus",NA,NA
"plataraea","brunnea","flight",NA
"platynus","assimilis","flight",NA
"platynus","krynickii",NA,NA
"platynus","livens","flight",NA
"platynus","longiventris",NA,NA
"platynus","scrobiculatus",NA,NA
"platystethus","arenarius",NA,NA
"platystethus","cornutus","flight",NA
"platythyrea","147",NA,NA
"plutella","xylostella",NA,NA
"pocadicnemis","juncea","wind",NA
"pocadicnemis","pumila","wind",NA
"poecilus","cupreus","flight",NA
"poecilus","kugelanni","flight",NA
"poecilus","lepidus","ground",NA
"poecilus","punctulatus","flight",NA
"poecilus","sericeus","flight",NA
"poecilus","versicolor","flight",NA
"poecilus","zaballosi",NA,NA
"pogonocherus","caroli",NA,NA
"pogonocherus","decoratus",NA,NA
"pogonocherus","fasciculatus",NA,NA
"pogonocherus","hispidulus",NA,NA
"pogonocherus","hispidus",NA,NA
"polistichus","connexus",NA,NA
"pompilidae","","flight",NA
"porrhomma","","wind",NA
